bsi11s8g01081,.,tsi13s22g00149,tsi13s1g00744,,tsi13s1g00497,atr42s3g02091
bsi11s4g00925,,tsi13s8g00394,.,tsi13s13g00238,tsi13s2g01504,atr42s12g01860
bsi11s4g00893,,tsi13s8g00407,.,tsi13s13g00240,.,atr42s12g01828
bsi11s4g00894,,tsi13s8g00414,.,tsi13s13g00241,.,atr42s12g01830
bsi11s4g00895,,tsi13s8g00415,.,tsi13s13g00242,.,atr42s12g01831
bsi11s4g00896,,tsi13s8g00420,.,tsi13s13g00246,.,atr42s12g01833
bsi11s4g00910,,.,tsi13s21g00325,tsi13s13g00255,tsi13s2g01507,atr42s12g01845
bsi11s4g00854,,tsi13s8g00445,tsi13s21g00345,tsi13s13g00275,.,atr42s12g01795
bsi11s4g00832,.,tsi13s8g00473,tsi13s21g00367,tsi13s13g00290,.,atr42s12g01775
bsi11s4g00829,.,tsi13s8g00478,.,tsi13s13g00294,tsi13s2g01521,atr42s12g01773
bsi11s4g00827,bsi11s13g00249,tsi13s8g00481,.,tsi13s13g00295,.,atr42s12g01763
bsi11s4g00823,.,tsi13s8g00488,tsi13s21g00375,tsi13s13g00296,.,atr42s12g01754
bsi11s4g00821,.,tsi13s8g00490,.,tsi13s13g00299,.,atr42s12g01750
bsi11s4g00806,.,tsi13s8g00511,tsi13s21g00407,tsi13s13g00312,.,atr42s12g01713
bsi11s4g00782,.,tsi13s8g00524,tsi13s21g00424,tsi13s13g00316,.,atr42s12g01695
.,bsi11s13g00283,tsi13s8g00526,.,tsi13s13g00322,.,atr42s12g01691
.,bsi11s13g00339,tsi13s8g00534,.,tsi13s13g00335,.,atr42s12g01674
bsi11s4g00766,.,.,tsi13s21g00435,tsi13s13g00344,.,atr42s12g01408
bsi11s4g00763,.,tsi13s8g00555,.,tsi13s13g00346,tsi13s2g01549,atr42s12g01392
bsi11s4g00762,.,tsi13s8g00556,.,tsi13s13g00347,.,atr42s12g01359
bsi11s4g00734,.,tsi13s8g00565,.,tsi13s13g00361,tsi13s2g01589,atr42s12g01670
.,bsi11s13g00398,tsi13s8g00576,tsi13s21g00455,tsi13s13g00374,tsi13s2g01590,atr42s12g01636
.,bsi11s13g00399,tsi13s8g00577,.,tsi13s13g00376,tsi13s2g01594,atr42s12g01341
bsi11s4g00711,.,.,tsi13s21g00465,tsi13s13g00378,tsi13s2g01597,atr42s12g01628
bsi11s4g00714,bsi11s13g00409,tsi13s8g00580,tsi13s21g00466,tsi13s13g00379,tsi13s2g01613,atr42s12g01626
bsi11s4g00718,bsi11s13g00413,.,tsi13s21g00469,tsi13s13g00384,tsi13s2g01614,atr42s12g01621
bsi11s4g00719,.,tsi13s8g00584,tsi13s21g00470,tsi13s13g00389,.,atr42s12g01620
bsi11s4g00676,bsi11s13g00417,tsi13s8g00587,tsi13s21g00473,tsi13s13g00394,tsi13s2g01626,atr42s12g01607
bsi11s4g00674,bsi11s13g00422,tsi13s8g00595,.,tsi13s13g00398,tsi13s2g01629,atr42s12g01594
.,bsi11s13g00424,.,tsi13s21g00485,tsi13s13g00407,.,atr42s12g01580
bsi11s4g00667,.,tsi13s8g00602,.,tsi13s13g00422,tsi13s2g01633,atr42s12g01557
bsi11s4g00652,bsi11s13g00434,tsi13s8g00606,tsi13s21g00491,tsi13s13g00428,tsi13s2g01637,atr42s12g01570
bsi11s4g00642,bsi11s13g00444,.,tsi13s21g00493,tsi13s13g00441,.,atr42s12g01129
bsi11s4g00638,bsi11s13g00440,tsi13s8g00613,tsi13s21g00494,tsi13s13g00446,tsi13s2g01653,atr42s12g01114
bsi11s4g00633,bsi11s13g00455,tsi13s8g00619,tsi13s21g00506,tsi13s13g00448,tsi13s2g01660,atr42s12g01091
bsi11s4g00631,bsi11s13g00460,.,tsi13s21g00509,tsi13s13g00450,tsi13s2g01661,atr42s12g01084
.,bsi11s13g00462,tsi13s8g00622,.,tsi13s13g00451,.,atr42s12g01077
bsi11s4g00629,bsi11s13g00463,tsi13s8g00627,.,tsi13s13g00453,tsi13s2g01668,atr42s1g02284
bsi11s4g00569,bsi11s13g00508,.,tsi13s21g00527,tsi13s13g00475,.,atr42s13g01687
bsi11s4g00570,.,.,tsi13s21g00528,tsi13s13g00476,.,atr42s13g01686
bsi11s4g00571,.,.,tsi13s21g00529,tsi13s13g00477,.,atr42s13g01684
bsi11s4g00568,.,tsi13s8g00652,.,tsi13s13g00486,tsi13s2g01711,atr42s13g01681
bsi11s4g00567,.,tsi13s8g00653,tsi13s21g00538,tsi13s13g00487,tsi13s2g01712,atr42s13g01692
bsi11s4g00566,.,tsi13s8g00655,tsi13s21g00543,tsi13s13g00488,.,atr42s13g01693
bsi11s4g00565,.,.,tsi13s21g00544,tsi13s13g00489,tsi13s2g01713,atr42s13g01694
.,bsi11s13g00523,tsi13s8g00671,.,tsi13s13g00493,.,atr42s13g01709
bsi11s4g00555,bsi11s13g00525,tsi13s8g00674,.,tsi13s13g00496,.,atr42s13g01720
bsi11s4g00549,bsi11s13g00528,tsi13s8g00675,tsi13s21g00567,tsi13s13g00499,.,atr42s13g01728
bsi11s4g00531,,.,tsi13s21g00594,tsi13s13g00507,.,atr42s13g01751
.,bsi11s13g00666,.,tsi13s21g00598,tsi13s13g00520,tsi13s2g01735,atr42s13g01756
.,bsi11s13g00665,tsi13s8g00687,tsi13s21g00600,tsi13s13g00522,tsi13s2g01738,atr42s13g01409
bsi11s4g00514,.,tsi13s8g00690,.,tsi13s13g00524,.,atr42s12g01716
bsi11s4g00508,bsi11s13g00660,tsi13s8g00695,.,tsi13s13g00527,tsi13s2g01748,atr42s13g01363
bsi11s4g00507,bsi11s13g00658,tsi13s8g00696,tsi13s21g00603,tsi13s13g00528,.,atr42s13g01352
bsi11s4g00506,bsi11s13g00657,tsi13s8g00698,.,tsi13s13g00529,tsi13s2g01750,atr42s13g01346
.,bsi11s13g00656,tsi13s8g00700,tsi13s21g00605,tsi13s13g00531,.,atr42s13g01342
bsi11s4g00493,.,tsi13s8g00705,tsi13s21g00612,tsi13s13g00541,.,atr42s13g01334
.,bsi11s13g00631,tsi13s8g00708,.,tsi13s13g00545,.,atr42s13g01305
bsi11s4g00482,.,tsi13s8g00715,.,tsi13s13g00555,tsi13s2g01775,atr42s5g01769
bsi11s4g00476,bsi11s13g00601,tsi13s8g00717,tsi13s21g00619,tsi13s13g00580,.,atr42s5g01766
bsi11s4g00474,bsi11s13g00599,.,tsi13s21g00620,tsi13s13g00582,tsi13s2g01782,atr42s3g02983
bsi11s4g00473,bsi11s13g00598,tsi13s8g00721,tsi13s21g00622,tsi13s13g00585,tsi13s2g01783,atr42s3g02977
.,bsi11s13g00595,tsi13s8g00723,tsi13s21g00623,tsi13s13g00589,tsi13s2g01786,atr42s3g02968
bsi11s4g00468,bsi11s13g00593,tsi13s8g00726,.,tsi13s13g00591,tsi13s2g01790,atr42s5g01752
.,bsi11s13g00591,tsi13s8g00730,.,tsi13s13g00593,tsi13s2g01791,atr42s5g01748
bsi11s4g00463,bsi11s13g00587,tsi13s8g00734,tsi13s21g00628,tsi13s13g00596,.,atr42s5g01743
bsi11s4g00455,.,tsi13s8g00741,tsi13s21g00640,tsi13s13g00604,.,atr42s5g01722
bsi11s4g00447,.,tsi13s8g00756,.,tsi13s13g00610,tsi13s2g01804,atr42s5g01392
bsi11s4g00438,.,tsi13s8g00761,.,tsi13s13g00617,.,atr42s5g01372
.,bsi11s13g00549,tsi13s8g00773,tsi13s21g00659,tsi13s13g00622,.,atr42s5g01333
bsi11s4g00431,.,tsi13s8g00774,tsi13s21g00660,tsi13s13g00624,.,atr42s5g01308
.,bsi11s13g00687,tsi13s8g00784,.,tsi13s13g00636,tsi13s2g01825,atr42s5g01238
bsi11s4g00421,bsi11s13g00690,tsi13s8g00787,tsi13s21g00692,tsi13s13g00639,tsi13s2g01827,atr42s5g01232
.,bsi11s13g00696,tsi13s8g00792,tsi13s21g00695,tsi13s13g00645,.,atr42s5g01222
bsi11s4g00415,bsi11s13g00697,tsi13s8g00793,tsi13s21g00696,tsi13s13g00648,tsi13s2g01832,atr42s5g01211
bsi11s4g00394,bsi11s13g00748,tsi13s8g00818,.,tsi13s13g00681,tsi13s2g01850,atr42s5g01570
bsi11s4g00393,bsi11s13g00752,tsi13s8g00820,tsi13s21g00718,tsi13s13g00686,.,atr42s5g01573
bsi11s4g00392,.,tsi13s8g00821,tsi13s21g00719,tsi13s13g00687,tsi13s2g01853,atr42s5g01581
.,bsi11s13g00754,tsi13s8g00828,.,tsi13s13g00689,.,atr42s5g01583
.,bsi11s13g00756,tsi13s8g00831,.,tsi13s13g00692,.,atr42s5g01585
bsi11s4g00387,.,tsi13s8g00835,.,tsi13s13g00698,.,atr42s5g01590
bsi11s4g00383,bsi11s13g00761,tsi13s8g00838,tsi13s21g00727,tsi13s13g00703,tsi13s2g01858,atr42s5g01618
.,bsi11s13g00762,tsi13s8g00839,tsi13s21g00728,tsi13s13g00704,tsi13s2g01859,atr42s5g01624
bsi11s4g00382,bsi11s13g00763,tsi13s8g00840,tsi13s21g00730,tsi13s13g00707,.,atr42s5g01630
.,bsi11s13g00765,tsi13s8g00842,.,tsi13s13g00709,.,atr42s5g01633
bsi11s4g00380,bsi11s13g00777,tsi13s8g00851,tsi13s21g00735,tsi13s13g00712,tsi13s2g01863,atr42s5g01651
bsi11s4g00375,bsi11s13g00818,.,tsi13s21g00737,tsi13s13g00717,tsi13s2g01872,atr42s5g01668
bsi11s4g00369,bsi11s13g00820,tsi13s8g00861,.,tsi13s13g00721,tsi13s2g01874,atr42s5g01669
.,bsi11s13g00829,tsi13s8g00869,tsi13s21g00746,tsi13s13g00726,tsi13s2g01880,atr42s5g01698
bsi11s4g00364,bsi11s13g00832,tsi13s8g00870,tsi13s21g00747,tsi13s13g00727,.,atr42s5g01691
bsi11s4g00359,bsi11s13g00835,.,tsi13s21g00749,tsi13s13g00733,.,atr42s5g01676
bsi11s4g00352,bsi11s13g00848,tsi13s8g00876,tsi13s21g00751,tsi13s13g00736,tsi13s2g01889,atr42s5g01791
bsi11s4g00350,bsi11s13g00850,tsi13s8g00877,tsi13s21g00753,tsi13s13g00737,tsi13s2g01891,atr42s5g01795
.,bsi11s13g00855,tsi13s8g00878,.,tsi13s13g00741,tsi13s2g01893,atr42s5g01799
bsi11s4g00328,bsi11s13g00881,tsi13s8g00886,.,tsi13s13g00765,.,atr42s13g02142
bsi11s4g00327,bsi11s13g00883,tsi13s8g00888,tsi13s21g00761,tsi13s13g00768,.,atr42s13g02114
.,bsi11s13g00885,tsi13s8g00891,.,tsi13s13g00770,tsi13s2g01910,atr42s13g02110
.,bsi11s13g00889,tsi13s8g00896,.,tsi13s13g00775,.,atr42s13g02109
bsi11s4g00317,bsi11s13g00893,tsi13s4g00459,.,tsi13s13g00778,tsi13s2g01917,atr42s5g00027
.,bsi11s13g00899,tsi13s8g00900,.,tsi13s13g00781,.,atr42s5g00032
bsi11s4g00314,.,tsi13s4g00456,.,tsi13s13g00783,tsi13s2g01920,atr42s5g00034
bsi11s4g00310,.,tsi13s8g00902,tsi13s21g00769,tsi13s13g00785,.,atr42s5g00041
bsi11s4g00305,bsi11s13g00907,tsi13s8g00909,.,tsi13s13g00790,tsi13s2g01927,atr42s5g00052
bsi11s4g00302,bsi11s13g00916,tsi13s8g00915,tsi13s21g00780,tsi13s13g00791,tsi13s2g01930,atr42s5g00063
bsi11s4g00299,.,tsi13s8g00920,.,tsi13s13g00792,tsi13s2g01934,atr42s5g00076
bsi11s4g00297,bsi11s13g00921,tsi13s4g00431,tsi13s21g00784,tsi13s13g00793,.,atr42s13g02108
bsi11s4g00292,.,tsi13s8g00925,.,tsi13s13g00798,tsi13s2g01938,atr42s5g00093
bsi11s4g00291,.,tsi13s8g00927,.,tsi13s13g00800,.,atr42s5g00094
bsi11s4g00289,bsi11s13g00934,tsi13s8g00932,tsi13s21g00790,tsi13s13g00802,tsi13s2g01939,atr42s5g00108
.,bsi11s13g00941,tsi13s8g00937,.,tsi13s13g00808,.,atr42s5g00132
bsi11s4g00282,.,tsi13s8g00938,.,tsi13s13g00811,tsi13s2g01948,atr42s5g00236
.,bsi11s13g00950,tsi13s8g00944,tsi13s21g00798,tsi13s13g00814,.,atr42s5g00146
.,bsi11s13g00957,tsi13s8g00954,.,tsi13s13g00816,.,atr42s5g00173
bsi11s4g00271,bsi11s13g00967,tsi13s8g00963,.,tsi13s13g00821,.,atr42s5g00209
bsi11s4g00269,bsi11s13g00973,tsi13s8g00968,tsi13s21g00824,tsi13s13g00823,tsi13s2g01952,atr42s5g00205
.,bsi11s13g00975,tsi13s8g00971,.,tsi13s13g00826,.,atr42s5g00198
bsi11s4g00258,bsi11s13g00990,tsi13s8g00980,tsi13s21g00838,tsi13s13g00833,.,atr42s5g00222
bsi11s4g00257,.,tsi13s8g00982,tsi13s21g00840,tsi13s13g00834,.,atr42s5g00227
.,bsi11s13g00997,tsi13s8g00989,.,tsi13s13g00839,.,atr42s5g00233
bsi11s4g00249,.,.,tsi13s21g00842,tsi13s13g00842,.,atr42s5g00237
.,bsi11s13g00999,tsi13s8g00992,.,tsi13s13g00847,.,atr42s5g00242
bsi11s4g00248,bsi11s13g01000,tsi13s8g00993,tsi13s21g00844,tsi13s13g00848,tsi13s2g01961,atr42s5g00245
bsi11s4g00246,bsi11s13g01005,tsi13s8g00997,.,tsi13s13g00850,tsi13s2g01963,atr42s5g00255
.,bsi11s13g01006,tsi13s8g01001,.,tsi13s13g00851,.,atr42s5g00258
bsi11s4g00245,bsi11s13g01009,tsi13s8g01004,tsi13s21g00846,tsi13s13g00853,.,atr42s5g00262
bsi11s4g00241,bsi11s13g01015,.,tsi13s21g00898,tsi13s13g00863,tsi13s2g01977,atr42s5g00278
bsi11s4g00238,.,.,tsi13s21g00894,tsi13s13g00867,tsi13s2g01983,atr42s5g00287
bsi11s4g00237,bsi11s13g01024,.,tsi13s21g00893,tsi13s13g00869,.,atr42s5g00309
.,bsi11s13g01025,.,tsi13s21g00892,tsi13s13g00870,.,atr42s5g00306
bsi11s4g00230,bsi11s13g01032,tsi13s8g01029,tsi13s21g00880,tsi13s13g00877,.,atr42s5g00296
bsi11s4g00228,bsi11s13g01038,.,tsi13s21g00878,tsi13s13g00883,.,atr42s5g00317
bsi11s4g00209,bsi11s13g01061,.,tsi13s21g00849,tsi13s13g00893,tsi13s2g02006,atr42s5g00336
bsi11s4g00178,bsi11s13g01135,.,tsi13s21g00927,tsi13s13g00919,tsi13s2g02026,atr42s5g00363
.,bsi11s13g01151,.,tsi13s21g00922,tsi13s13g00932,.,atr42s5g00418
bsi11s4g00185,bsi11s13g01154,.,tsi13s21g00921,tsi13s13g00934,tsi13s2g02034,atr42s5g00423
bsi11s4g00188,bsi11s13g01156,.,tsi13s21g00920,tsi13s13g00935,.,atr42s5g00425
bsi11s4g00189,bsi11s13g01157,tsi13s8g01083,.,tsi13s13g00936,.,atr42s5g00427
bsi11s4g00151,.,tsi13s8g01112,.,tsi13s13g00957,.,atr42s5g00672
bsi11s4g00048,bsi11s13g01093,tsi13s8g01221,.,tsi13s13g00961,tsi13s2g02058,atr42s5g00642
bsi11s4g00143,bsi11s13g01082,tsi13s8g01211,.,tsi13s13g00966,tsi13s2g02062,atr42s4g00141
bsi11s4g00140,,tsi13s8g01128,tsi13s21g00962,tsi13s13g00970,,atr42s5g00626
.,bsi11s13g01240,tsi13s8g01200,tsi13s21g01031,tsi13s13g00975,tsi13s2g02134,atr42s4g00151
bsi11s4g00071,bsi11s13g01235,tsi13s8g01194,tsi13s21g01030,tsi13s13g00976,tsi13s2g02133,atr42s4g00160
.,bsi11s13g01231,.,tsi13s21g01027,tsi13s13g00980,.,atr42s4g00166
bsi11s4g00080,.,.,tsi13s21g01024,tsi13s13g00988,.,atr42s4g00172
.,bsi11s13g01229,tsi13s8g01192,.,tsi13s13g00989,.,atr42s4g00173
.,bsi11s13g01228,tsi13s8g01184,tsi13s21g01021,tsi13s13g00991,.,atr42s4g00179
bsi11s4g00084,bsi11s13g01221,tsi13s8g01174,tsi13s21g01015,tsi13s13g00995,tsi13s2g02122,atr42s4g00194
bsi11s4g00109,.,tsi13s8g01162,.,tsi13s13g01024,.,atr42s5g01505
bsi11s4g00110,bsi11s13g01207,tsi13s8g01160,tsi13s21g01000,tsi13s13g01025,tsi13s2g02092,atr42s5g01509
bsi11s4g00115,bsi11s13g01204,tsi13s8g01157,tsi13s21g00992,tsi13s13g01028,.,atr42s5g01525
bsi11s4g00118,bsi11s13g01202,tsi13s8g01155,tsi13s21g00983,tsi13s13g01030,.,atr42s5g01534
bsi11s4g00124,bsi11s13g01198,tsi13s8g01151,tsi13s21g00976,tsi13s13g01036,.,atr42s5g00558
bsi11s4g00125,bsi11s13g01196,.,tsi13s21g00975,tsi13s13g01037,tsi13s2g02080,atr42s5g00576
bsi11s4g00128,.,.,tsi13s21g00970,tsi13s13g01041,.,atr42s5g00585
bsi11s4g00129,bsi11s13g01193,tsi13s8g01146,.,tsi13s13g01042,tsi13s2g02078,atr42s5g00594
.,bsi11s13g01192,tsi13s8g01145,.,tsi13s13g01043,.,atr42s5g00595
.,bsi11s13g01185,tsi13s8g01142,.,tsi13s13g01050,tsi13s2g02074,atr42s5g00598
bsi11s4g00135,,tsi13s8g01134,.,tsi13s13g01051,tsi13s2g02073,atr42s5g00601
bsi11s4g00136,,tsi13s8g01133,.,tsi13s13g01052,,atr42s5g00633
.,bsi11s13g01274,tsi13s8g01237,.,tsi13s13g01073,.,atr42s4g00073
.,bsi11s13g01278,tsi13s8g01239,.,tsi13s13g01075,.,atr42s4g00064
.,bsi11s13g01279,.,tsi13s21g01067,tsi13s13g01076,.,atr42s4g00062
bsi11s4g00033,bsi11s13g01282,tsi13s8g01242,tsi13s21g01070,tsi13s13g01077,tsi13s2g02157,atr42s4g00056
bsi11s4g00025,bsi11s13g01308,tsi13s8g01249,tsi13s21g01077,tsi13s13g01086,.,atr42s12g00091
.,bsi11s13g01294,tsi13s8g01254,.,tsi13s13g01095,.,atr42s12g00104
bsi11s4g00022,bsi11s13g01293,tsi13s8g01255,tsi13s21g01080,tsi13s13g01096,.,atr42s12g00109
.,bsi11s13g01290,tsi13s8g01257,tsi13s21g01082,tsi13s13g01098,tsi13s2g02167,atr42s12g00113
.,bsi11s13g01316,tsi13s8g01258,tsi13s21g01083,tsi13s13g01099,.,atr42s12g00114
bsi11s4g00019,bsi11s13g01319,.,tsi13s21g01088,tsi13s13g01102,.,atr42s12g00127
.,bsi11s13g01322,tsi13s8g01262,.,tsi13s13g01104,.,atr42s12g00135
.,bsi11s13g01323,tsi13s8g01263,.,tsi13s13g01105,.,atr42s12g00136
.,bsi11s13g01332,tsi13s8g01265,.,tsi13s13g01110,.,atr42s12g00166
.,bsi11s13g01339,tsi13s8g01280,.,tsi13s13g01115,.,atr42s12g00180
.,bsi11s13g01341,.,tsi13s21g01096,tsi13s13g01118,.,atr42s12g00183
.,bsi11s13g01346,tsi13s8g01288,.,tsi13s13g01123,.,atr42s12g00199
.,bsi11s13g01365,tsi13s8g01293,tsi13s21g01102,tsi13s13g01129,.,atr42s13g00362
bsi11s4g00011,.,tsi13s8g01314,.,tsi13s13g01138,.,atr42s13g00401
.,bsi11s13g01385,tsi13s8g01319,tsi13s21g01120,tsi13s13g01143,tsi13s2g02193,atr42s13g00417
.,bsi11s13g01386,.,tsi13s21g01121,tsi13s13g01144,,atr42s13g00418
bsi11s4g00005,bsi11s13g01387,tsi13s8g01320,,tsi13s13g01145,,atr42s13g00420
.,bsi11s13g01388,tsi13s8g01321,,tsi13s13g01146,,atr42s13g00439
bsi11s2g00013,bsi11s5g01988,tsi13s4g00004,tsi13s12g00010,,tsi13s18g00004,atr42s3g00058
.,bsi11s5g01968,.,tsi13s12g00021,.,tsi13s18g00010,atr42s3g00028
bsi11s2g00022,bsi11s5g01966,.,tsi13s12g00025,.,tsi13s18g00011,atr42s3g00023
bsi11s2g00030,bsi11s5g01959,tsi13s4g00011,.,tsi13s3g00036,tsi13s18g00013,atr42s3g00093
.,bsi11s5g01947,tsi13s4g00019,tsi13s12g00039,.,tsi13s18g00016,atr42s3g00113
bsi11s2g00050,bsi11s5g01937,tsi13s4g00026,tsi13s12g00053,tsi13s3g00056,tsi13s18g00021,atr42s3g00123
bsi11s2g00056,bsi11s5g01929,tsi13s4g00033,tsi13s12g00062,tsi13s3g00063,tsi13s18g00024,atr42s3g00145
bsi11s2g00065,.,.,tsi13s12g00067,tsi13s3g00071,tsi13s18g00026,atr42s3g00166
bsi11s2g00513,bsi11s5g01903,tsi13s4g00514,tsi13s12g00469,tsi13s3g00079,tsi13s18g00032,atr42s13g02077
bsi11s2g00499,.,tsi13s4g00491,tsi13s12g00453,tsi13s3g00114,tsi13s18g00038,atr42s13g02123
bsi11s2g00475,bsi11s5g01477,tsi13s4g00458,.,tsi13s3g00137,tsi13s18g00044,atr42s13g02165
bsi11s2g00465,bsi11s5g01495,tsi13s4g00449,.,tsi13s3g00156,tsi13s18g00047,atr42s13g02186
bsi11s2g00452,.,tsi13s4g00439,.,tsi13s3g00164,tsi13s18g00055,atr42s13g02204
.,bsi11s5g01509,tsi13s4g00436,.,tsi13s3g00165,tsi13s18g00057,atr42s3g01728
.,bsi11s5g01537,tsi13s4g00413,tsi13s12g00394,,tsi13s18g00071,atr42s3g01663
.,bsi11s5g01540,tsi13s4g00410,.,,tsi13s18g00074,atr42s3g01657
bsi11s2g00397,bsi11s5g01570,.,tsi13s12g00365,tsi13s3g00826,tsi13s18g00086,atr42s3g01416
.,bsi11s5g01574,tsi13s4g00369,tsi13s12g00364,tsi13s3g00823,tsi13s18g00088,atr42s3g01422
bsi11s2g00366,bsi11s5g01601,tsi13s4g00346,tsi13s12g00348,tsi13s3g00791,tsi13s18g00101,atr42s9g00732
bsi11s2g00361,bsi11s5g01604,tsi13s4g00341,.,tsi13s3g00783,tsi13s18g00106,atr42s9g00727
bsi11s2g00355,bsi11s5g01608,tsi13s4g00334,tsi13s12g00344,tsi13s3g00776,tsi13s18g00108,atr42s9g00721
bsi11s2g00351,bsi11s5g01610,tsi13s4g00332,.,tsi13s3g00770,tsi13s18g00111,atr42s9g00713
.,bsi11s5g01613,tsi13s4g00330,.,tsi13s3g00766,tsi13s18g00114,atr42s9g01931
bsi11s2g00346,bsi11s5g01618,tsi13s4g00321,tsi13s12g00332,tsi13s3g00761,tsi13s18g00120,atr42s9g00704
bsi11s2g00343,bsi11s5g01623,tsi13s4g00317,tsi13s12g00326,tsi13s3g00756,tsi13s18g00123,atr42s9g02117
bsi11s2g00342,bsi11s5g01626,tsi13s4g00313,tsi13s12g00323,tsi13s3g00750,tsi13s18g00124,atr42s9g02111
bsi11s2g00337,bsi11s5g01628,.,tsi13s12g00319,tsi13s3g00746,tsi13s18g00129,atr42s9g00695
bsi11s2g00335,bsi11s5g01633,tsi13s4g00308,tsi13s12g00316,tsi13s3g00745,tsi13s18g00130,atr42s9g01948
.,bsi11s5g01644,tsi13s4g00300,tsi13s12g00309,tsi13s3g00731,tsi13s18g00141,atr42s9g02003
bsi11s2g00315,bsi11s5g01646,tsi13s4g00296,tsi13s12g00305,tsi13s3g00729,tsi13s18g00142,atr42s9g02000
bsi11s2g00306,.,.,tsi13s12g00290,.,tsi13s18g00160,atr42s9g01982
bsi11s2g00281,.,tsi13s4g00264,tsi13s12g00263,.,tsi13s18g00173,atr42s9g02303
bsi11s2g00268,.,tsi13s4g00257,tsi13s12g00256,.,tsi13s18g00177,atr42s9g02320
bsi11s2g00267,.,.,tsi13s12g00254,.,tsi13s18g00182,atr42s9g02328
bsi11s2g00256,.,tsi13s4g00245,.,tsi13s3g00689,tsi13s18g00185,atr42s9g02347
bsi11s2g00250,bsi11s5g01696,tsi13s4g00241,.,tsi13s3g00686,tsi13s18g00188,atr42s9g02353
bsi11s2g00243,bsi11s5g01699,tsi13s4g00237,.,tsi13s3g00680,tsi13s18g00192,atr42s9g01265
bsi11s2g00241,.,tsi13s4g00226,tsi13s12g00233,tsi13s3g00679,tsi13s18g00195,atr42s9g01279
bsi11s2g00191,bsi11s5g01748,tsi13s4g00180,tsi13s12g00197,.,tsi13s18g00222,atr42s9g00597
bsi11s2g00186,.,.,tsi13s12g00194,tsi13s3g00632,tsi13s18g00226,atr42s9g00606
.,bsi11s5g01761,tsi13s4g00169,tsi13s12g00164,tsi13s3g00627,tsi13s18g00232,atr42s9g00638
bsi11s2g00183,.,.,tsi13s12g00155,.,tsi13s18g00236,atr42s9g00632
bsi11s2g00172,bsi11s5g01783,tsi13s4g00154,tsi13s12g00145,tsi13s3g00609,tsi13s18g00245,atr42s9g00654
bsi11s2g00160,bsi11s5g01796,tsi13s4g00144,.,.,tsi13s18g00254,atr42s9g00682
bsi11s2g00159,.,tsi13s4g00143,.,.,tsi13s18g00255,atr42s9g00584
bsi11s2g00139,bsi11s5g01829,tsi13s4g00118,tsi13s12g00127,tsi13s3g00578,tsi13s18g00270,atr42s9g00758
bsi11s2g00115,bsi11s5g01856,tsi13s4g00096,tsi13s12g00114,tsi13s3g00558,tsi13s18g00291,atr42s9g00502
bsi11s2g00113,bsi11s5g01858,tsi13s4g00095,,tsi13s3g00556,tsi13s18g00294,atr42s9g00500
bsi11s2g00979,,tsi13s4g00943,tsi13s12g00759,tsi13s3g00550,tsi13s18g00296,atr42s13g01588
bsi11s2g00978,bsi11s5g01026,tsi13s4g00942,.,tsi13s3g00548,tsi13s18g00297,atr42s13g01590
bsi11s2g00975,.,tsi13s4g00934,tsi13s12g00757,tsi13s3g00545,tsi13s18g00298,atr42s13g01606
bsi11s2g00933,bsi11s5g01066,tsi13s4g00891,tsi13s12g00737,tsi13s3g00504,tsi13s18g00330,atr42s12g01411
bsi11s2g00927,bsi11s5g01067,tsi13s4g00887,tsi13s12g00735,tsi13s3g00500,tsi13s18g00333,atr42s12g01426
bsi11s2g00925,bsi11s5g01068,tsi13s4g00885,tsi13s12g00733,tsi13s3g00498,tsi13s18g00334,atr42s12g01429
bsi11s2g00920,bsi11s5g01071,tsi13s4g00881,tsi13s12g00732,tsi13s3g00494,tsi13s18g00339,atr42s12g01442
.,bsi11s5g01074,tsi13s4g00877,tsi13s12g00729,tsi13s3g00492,tsi13s18g00341,atr42s12g01454
bsi11s2g00913,.,tsi13s4g00875,tsi13s12g00727,.,tsi13s18g00343,atr42s12g01458
.,bsi11s5g01081,tsi13s4g00867,tsi13s12g00717,.,tsi13s18g00351,atr42s12g01478
bsi11s2g00903,.,tsi13s4g00862,.,tsi13s3g00483,tsi13s18g00354,atr42s12g01488
.,bsi11s5g01097,.,tsi13s12g00710,tsi13s3g00472,tsi13s18g00361,atr42s12g01514
bsi11s2g00894,bsi11s5g01106,tsi13s4g00845,tsi13s12g00706,tsi13s3g00464,tsi13s18g00363,atr42s12g01523
bsi11s2g00891,bsi11s5g01107,tsi13s4g00843,.,tsi13s3g00461,tsi13s18g00365,atr42s12g01546
bsi11s2g00887,bsi11s5g01118,tsi13s4g00838,tsi13s12g00702,tsi13s3g00457,tsi13s18g00368,atr42s12g01221
bsi11s2g00878,bsi11s5g01129,.,tsi13s12g00700,tsi13s3g00428,tsi13s18g00376,atr42s12g01249
bsi11s2g00872,bsi11s5g01135,tsi13s4g00828,.,.,tsi13s18g00378,atr42s12g01272
bsi11s2g00870,.,tsi13s4g00827,.,tsi13s3g00432,tsi13s18g00379,atr42s12g01275
bsi11s2g00869,bsi11s5g01136,tsi13s4g00825,tsi13s12g00693,tsi13s3g00434,tsi13s18g00380,atr42s12g01277
.,bsi11s5g01142,tsi13s4g00820,.,tsi13s3g00441,tsi13s18g00381,atr42s12g01300
